match_id,date,home_team,away_team,season,home_form_points,home_form_wins,home_form_draws,home_form_losses,home_form_goals_for,home_form_goals_against,home_form_goal_diff,home_form_win_rate,away_form_points,away_form_wins,away_form_draws,away_form_losses,away_form_goals_for,away_form_goals_against,away_form_goal_diff,away_form_win_rate,home_season_played,home_season_points,home_season_win_rate,home_season_avg_goals_for,home_season_avg_goals_against,home_season_clean_sheets,away_season_played,away_season_points,away_season_win_rate,away_season_avg_goals_for,away_season_avg_goals_against,away_season_clean_sheets,home_venue_played,home_venue_win_rate,home_venue_avg_goals,away_venue_played,away_venue_win_rate,away_venue_avg_goals,h2h_played,h2h_wins,h2h_draws,h2h_losses,h2h_win_rate,h2h_goals_for,h2h_goals_against,day_of_week,month,is_weekend,target,home_goals,away_goals,diff_form_points,diff_form_goal_diff,diff_season_win_rate,diff_avg_goals
Man City_vs_Chelsea_20080913,2008-09-13,Man City,Chelsea,2008-09,6.0,2.0,0.0,3.0,9.0,13.0,-4.0,0.4,11.0,3.0,2.0,0.0,9.0,2.0,7.0,0.6,3,6.0,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.6666666666666666,3,7.0,0.6666666666666666,2.0,0.3333333333333333,0.6666666666666666,10,0.3,1.2,10,0.8,1.9,10,1.0,1.0,8.0,0.1,1.0,17.0,5,9,1,A,1,3,-5.0,-11.0,0.0,0.6666666666666665
Newcastle_vs_Hull_20080913,2008-09-13,Newcastle,Hull,2008-09,4.0,1.0,1.0,3.0,3.0,9.0,-6.0,0.2,4.0,1.0,1.0,1.0,3.0,7.0,-4.0,0.3333333333333333,3,4.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,3,4.0,0.3333333333333333,1.0,2.3333333333333335,0.0,10,0.4,1.0,1,0.0,1.0,0,2.0,1.0,2.0,0.3333333333333333,7.0,7.0,5,9,1,A,1,2,0.0,-2.0,0.0,-0.33333333333333337
Portsmouth_vs_Middlesbrough_20080913,2008-09-13,Portsmouth,Middlesbrough,2008-09,3.0,1.0,0.0,4.0,3.0,8.0,-5.0,0.2,12.0,4.0,0.0,1.0,15.0,5.0,10.0,0.8,3,3.0,0.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,3,6.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.0,10,0.5,1.3,10,0.1,1.1,10,4.0,4.0,2.0,0.4,14.0,7.0,5,9,1,H,2,1,-9.0,-15.0,-0.3333333333333333,-0.6666666666666667
West Brom_vs_West Ham_20080913,2008-09-13,West Brom,West Ham,2008-09,2.0,0.0,2.0,3.0,3.0,6.0,-3.0,0.0,7.0,2.0,1.0,2.0,9.0,11.0,-2.0,0.4,3,1.0,0.0,0.3333333333333333,1.0,0.3333333333333333,3,6.0,0.6666666666666666,2.0,1.6666666666666667,0.0,10,0.1,0.6,10,0.1,0.5,2,0.0,0.0,2.0,0.0,0.0,2.0,5,9,1,H,3,2,-5.0,-1.0,-0.6666666666666666,-1.6666666666666667
Wigan_vs_Sunderland_20080913,2008-09-13,Wigan,Sunderland,2008-09,6.0,2.0,0.0,3.0,8.0,5.0,3.0,0.4,3.0,1.0,0.0,4.0,2.0,8.0,-6.0,0.2,3,3.0,0.3333333333333333,2.0,1.0,0.3333333333333333,3,3.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,10,0.4,0.8,10,0.3,0.6,4,3.0,0.0,1.0,0.75,5.0,2.0,5,9,1,D,1,1,3.0,9.0,0.0,1.3333333333333335
Stoke_vs_Everton_20080914,2008-09-14,Stoke,Everton,2008-09,3.0,1.0,0.0,2.0,5.0,7.0,-2.0,0.3333333333333333,6.0,2.0,0.0,3.0,7.0,9.0,-2.0,0.4,3,3.0,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.0,3,3.0,0.3333333333333333,1.3333333333333333,2.3333333333333335,0.0,1,1.0,3.0,10,0.5,1.0,0,2.0,1.0,2.0,0.3333333333333333,7.0,7.0,6,9,1,A,2,3,-3.0,0.0,0.0,0.3333333333333335
Tottenham_vs_Aston Villa_20080915,2008-09-15,Tottenham,Aston Villa,2008-09,4.0,1.0,1.0,3.0,4.0,7.0,-3.0,0.2,5.0,1.0,2.0,2.0,8.0,9.0,-1.0,0.2,3,1.0,0.0,1.0,1.6666666666666667,0.0,3,4.0,0.3333333333333333,2.0,1.6666666666666667,0.3333333333333333,10,0.3,1.7,10,0.2,1.8,10,3.0,4.0,3.0,0.3,16.0,13.0,0,9,0,A,1,2,-1.0,-2.0,-0.3333333333333333,-1.0
West Ham_vs_Newcastle_20080920,2008-09-20,West Ham,Newcastle,2008-09,7.0,2.0,1.0,2.0,10.0,10.0,0.0,0.4,4.0,1.0,1.0,3.0,4.0,9.0,-5.0,0.2,4,6.0,0.5,2.0,2.0,0.0,4,4.0,0.25,0.75,1.5,0.25,10,0.5,1.6,10,0.1,1.0,10,2.0,3.0,5.0,0.2,13.0,18.0,5,9,1,H,3,1,3.0,5.0,0.25,1.25
Sunderland_vs_Middlesbrough_20080920,2008-09-20,Sunderland,Middlesbrough,2008-09,4.0,1.0,1.0,3.0,3.0,7.0,-4.0,0.2,9.0,3.0,0.0,2.0,14.0,7.0,7.0,0.6,4,4.0,0.25,0.75,1.5,0.0,4,6.0,0.5,1.5,1.5,0.0,10,0.4,1.0,10,0.0,1.1,8,3.0,2.0,3.0,0.375,8.0,10.0,5,9,1,H,2,0,-5.0,-11.0,-0.25,-0.75
Bolton_vs_Arsenal_20080920,2008-09-20,Bolton,Arsenal,2008-09,5.0,1.0,2.0,2.0,5.0,5.0,0.0,0.2,12.0,4.0,0.0,1.0,9.0,1.0,8.0,0.8,4,4.0,0.25,1.0,1.0,0.25,4,9.0,0.75,2.0,0.25,0.75,10,0.3,1.0,10,0.5,2.1,10,3.0,3.0,4.0,0.3,14.0,14.0,5,9,1,A,1,3,-7.0,-8.0,-0.5,-1.0
Blackburn_vs_Fulham_20080920,2008-09-20,Blackburn,Fulham,2008-09,4.0,1.0,1.0,3.0,6.0,15.0,-9.0,0.2,12.0,4.0,0.0,1.0,7.0,3.0,4.0,0.8,4,4.0,0.25,1.25,2.75,0.0,3,6.0,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,10,0.3,1.5,10,0.3,1.1,10,4.0,3.0,3.0,0.4,16.0,15.0,5,9,1,H,1,0,-8.0,-13.0,-0.41666666666666663,-0.08333333333333326
Liverpool_vs_Stoke_20080920,2008-09-20,Liverpool,Stoke,2008-09,13.0,4.0,1.0,0.0,7.0,2.0,5.0,0.8,3.0,1.0,0.0,3.0,7.0,10.0,-3.0,0.25,4,10.0,0.75,1.25,0.5,0.5,4,3.0,0.25,1.75,2.5,0.0,10,1.0,2.4,2,0.0,1.0,0,2.0,1.0,2.0,0.3333333333333333,7.0,7.0,5,9,1,D,0,0,10.0,8.0,0.5,-0.5
Chelsea_vs_Man United_20080921,2008-09-21,Chelsea,Man United,2008-09,11.0,3.0,2.0,0.0,10.0,3.0,7.0,0.6,10.0,3.0,1.0,1.0,9.0,4.0,5.0,0.6,4,10.0,0.75,2.25,0.5,0.5,3,4.0,0.3333333333333333,1.0,1.0,0.3333333333333333,10,0.6,1.9,10,0.5,1.8,10,5.0,3.0,2.0,0.5,12.0,7.0,6,9,1,D,1,1,1.0,2.0,0.4166666666666667,1.25
Hull_vs_Everton_20080921,2008-09-21,Hull,Everton,2008-09,7.0,2.0,1.0,1.0,5.0,8.0,-3.0,0.5,9.0,3.0,0.0,2.0,10.0,10.0,0.0,0.6,4,7.0,0.5,1.25,2.0,0.0,4,6.0,0.5,1.75,2.25,0.0,2,0.5,1.0,10,0.5,1.1,0,2.0,1.0,2.0,0.3333333333333333,7.0,7.0,6,9,1,D,2,2,-2.0,-3.0,0.0,-0.5
Man City_vs_Portsmouth_20080921,2008-09-21,Man City,Portsmouth,2008-09,6.0,2.0,0.0,3.0,10.0,15.0,-5.0,0.4,6.0,2.0,0.0,3.0,5.0,7.0,-2.0,0.4,4,6.0,0.5,2.25,1.75,0.5,4,6.0,0.5,1.25,1.5,0.25,10,0.3,1.3,10,0.3,0.7,10,4.0,3.0,3.0,0.4,15.0,12.0,6,9,1,H,6,0,0.0,-3.0,0.0,1.0
Tottenham_vs_Wigan_20080921,2008-09-21,Tottenham,Wigan,2008-09,1.0,0.0,1.0,4.0,4.0,9.0,-5.0,0.0,4.0,1.0,1.0,3.0,7.0,6.0,1.0,0.2,4,1.0,0.0,1.0,1.75,0.0,4,4.0,0.25,1.75,1.0,0.25,10,0.2,1.6,10,0.3,1.1,6,3.0,3.0,0.0,0.5,15.0,8.0,6,9,1,D,0,0,-3.0,-6.0,-0.25,-0.75
